task,method,seed,step,success_rate,mean_return,mean_steps
coffee_office,Q-learning,6,1000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,1100,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,1200,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,1300,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,1400,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,1500,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,1600,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,1700,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,1800,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,1900,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,6,2000,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,100,0.4,0.310462147391639,40.95
coffee_office,QRM,6,200,0.6,0.4895763891392829,33.25
coffee_office,QRM,6,300,0.6,0.5137961333152344,30.2
coffee_office,QRM,6,400,0.2,0.1802402115557638,42.35
coffee_office,QRM,6,500,0.85,0.7181254700292286,23.55
coffee_office,QRM,6,600,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,700,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,800,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,900,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1000,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1100,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1200,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1300,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1400,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1500,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1600,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1700,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1800,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,1900,1.0,0.9702990000000004,4.0
coffee_office,QRM,6,2000,1.0,0.9702990000000004,4.0
coffee_office,Q-learning,7,100,0.3,0.23639395564955304,42.55
coffee_office,Q-learning,7,200,0.25,0.21972031415317286,41.0
